EmployeeId,FirstName,MiddleName,LastName,Initials,Sex,Language,PhoneNumber,EmailAddress,LoginName,AddressId,StartDate,EndDate,Currency,SalaryAmount,AccountNumber,BankId,BankName,EmployeePicURL,ManagerId,OrgUnitId
32,Richard,,Fisher,,F,E,,fisher.richard@itelo.info,FISHERR,1000000033,1/1/2000,12/31/9999,EUR,67234,567890123,99999888,Deutsches Geldinstitut,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_25_FisherR.jpg,23,19
10,Michael,,Miller,,M,E,,michael.miller@itelo.info,DMM161_MILLERM,1000000011,1/1/2000,12/31/9999,USD,86574,76543210,66665555,My Bank of London,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_9_MillerM.jpg,22,14
3,Franco,,Fall,,M,E,,franco.fall@itelo.info,DMM161_FALLF,1000000004,1/1/2000,12/31/9999,USD,85962,8877665544,121000358,My Bank of San Francisco,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_2_FallF.jpg,11,13
4,Walter,,Winter,,M,E,,walter.winter@itelo.info,DMM161_WINTERW,1000000005,1/1/2000,12/31/9999,USD,68597,7766554433,121000358,My Bank of San Francisco,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_1_WinterW.jpg,11,13
7,Viola,Sarah,Gains,,F,E,+1 224 374 522,viola.gains@itelo.info,DMM161_GAINSV,1000000008,1/1/2000,12/31/9999,USD,110962,222333444,510000655,My Bank of Antioch,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_2_GainsV.jpg,11,13
11,John,,Nicols,,M,E,,john.nicols@itelo.info,DMM161_NICOLSJ,1000000012,1/1/2000,12/31/9999,USD,61579,87654321,66665555,My Bank of London,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_7_NicolsJ.jpg,22,13
28,Peter,,Fuchs,,M,E,,peter.fuchs@itelo.info,DMM161_FUCHSP,1000000029,1/1/2000,12/31/9999,USD,71344,65432109,66665555,My Bank of London,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_20_FuchsP.jpg,23,15
13,Joanne,,Rush,,F,E,,joanne.rush@itelo.info,DMM161_RUSHJ,1000000014,1/1/2000,12/31/9999,USD,70000,345678901,99999888,Deutsches Geldinstitut,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_1_RushJ.jpg,22,12
2,Susan,,Summer,,F,E,,susan.summer@itelo.info,DMM161_SUMMERS,1000000003,1/1/2000,12/31/9999,USD,76239,9988776655,121000358,My Bank of San Francisco,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_7_SummerS.jpg,16,11
6,John,,Dash,,M,E,,john.dash@itelo.info,DMM161_DASHJ,1000000007,1/1/2000,12/31/9999,USD,72691,5544332211,121000358,My Bank of San Francisco,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_11_DashJ.jpg,16,11
16,Hermann,,Hecker,,M,E,,hermann.hecker@itelo.info,DMM161_HECKERH,1000000017,1/1/2000,12/31/9999,USD,39874,123456789,99999888,Deutsches Geldinstitut,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_16_HeckerH.jpg,22,11
12,John,,Smith,,M,E,,john.smith@itelo.info,DMM161_SMITHJO,1000000013,1/1/2000,12/31/9999,USD,60350,98765432,66665555,My Bank of London,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_3_SmithJo.jpg,15,10
15,James,,Field,,M,E,+1 224 374 526,james.field@itelo.info,DMM161_FIELDJ,1000000016,1/1/2000,12/31/9999,USD,76395,32109876,66665555,My Bank of London,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_5_FieldJ.jpg,21,10
1,Sally,,Spring,,F,E,+1 224 374 524,sally.spring@itelo.info,DMM161_SPRINGS,1000000002,1/1/2000,12/31/9999,USD,55549,111222333,510000655,My Bank of Antioch,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_8_SpringS.jpg,9,5
9,Paul,,Burke,,M,E,+1 224 374 523,paul.burke@itelo.info,DMM161_BURKEP,1000000010,1/1/2000,12/31/9999,USD,100491,333444555,510000655,My Bank of Antioch,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_4_BurkeP.jpg,19,5
5,Maria,,Hicks,,F,E,,maria.hicks@itelo.info,DMM161_HICKSM,1000000006,1/1/2000,12/31/9999,USD,49876,1122334455,26005885,My Bank of New York,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_10_HicksM.jpg,8,6
8,Randy,,Gordon,,M,E,,randy.gordon@itelo.info,DMM161_GORDONR,1000000009,1/1/2000,12/31/9999,USD,81463,2233445566,26005885,My Bank of New York,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_10_GordonR.jpg,19,6
21,Megan,,Wang,,F,E,,megan.wang@itelo.info,DMM161_WANGM,1000000022,1/1/2000,12/31/9999,USD,57985,54321098,66665555,My Bank of London,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_4_WangM.jpg,22,7
14,Sue,,Bay,,F,E,+1 224 374 525,sue.bay@itelo.info,DMM161_BAYSU,1000000015,1/1/2000,12/31/9999,USD,98631,99887766,121000358,My Bank of San Francisco,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_6_BaySu.jpg,18,4
18,Al,,Wallace,,M,E,,al.wallace@itelo.info,DMM161_WALLACEA,1000000019,1/1/2000,12/31/9999,USD,55426,1100998877,121000358,My Bank of San Francisco,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_13_WallaceA.jpg,19,4
17,Rudolf,,Platte,,M,E,,rudolf.platte@itelo.info,DMM161_PLATTER,1000000018,1/1/2000,12/31/9999,USD,45983,234567890,99999888,Deutsches Geldinstitut,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_15_PlatteR.jpg,20,8
20,James,,Smith,,M,E,,james.smith@itelo.info,DMM161_SMITHJ,1000000021,1/1/2000,12/31/9999,USD,38761,456789012,99999888,Deutsches Geldinstitut,/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_14_SmithJ.jpg,21,8
